Expirations,,,,,,,
,,,,,,,
,,,,,,,
Resource ID,Percent,Days,Expiration Description,Expiration Date,Expiration Code,Expiration Name,Priority Status
ULRF018,-9%,-8,PM : 000-TPM : Descr : Trailer PM Service,7/27/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53590,-9%,-8,PM : 000-TPM : Descr : Trailer PM Service,7/27/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53529,-9%,-8,PM : 000-DOT : Descr : Annual DOT Inspection,7/27/2021 12:00:00 AM,PRE,Preventive Maint,Required
UL53527,-9%,-8,PM : 000-TPM : Descr : Trailer PM Service,7/27/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UCIQ015,-9%,-8,PM : 000-TPM : Descr : Trailer PM Service,7/27/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53381,-10%,-9,PM : 000-TPM : Descr : Trailer PM Service,7/28/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53547,-10%,-9,PM : 000-DOT : Descr : Annual DOT Inspection,7/28/2021 12:00:00 AM,PRE,Preventive Maint,Required
UL53547,-10%,-9,PM : 000-TPM : Descr : Trailer PM Service,7/28/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53569,-10%,-9,PM : 000-DOT : Descr : Annual DOT Inspection,7/28/2021 12:00:00 AM,PRE,Preventive Maint,Required
UL53502,-10%,-9,PM : 000-TPM : Descr : Trailer PM Service,7/28/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53864,-10%,-9,PM : 000-TPM : Descr : Trailer PM Service,7/28/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53762,-10%,-9,PM : 000-TPM : Descr : Trailer PM Service,7/28/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53713,-10%,-9,PM : 000-TPM : Descr : Trailer PM Service,7/28/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53717,-11%,-10,PM : 000-TPM : Descr : Trailer PM Service,7/29/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53746,-11%,-10,PM : 000-TPM : Descr : Trailer PM Service,7/29/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
UL53922,-11%,-10,PM : 000-TPM : Descr : Trailer PM Service,7/29/2021 12:00:00 AM,PRE,Preventive Maint,Key Date
